,Ret_time,ticker,pos,neu,neg,ret
0,1/29/21,AMC,0.119,0.881,0,0.194490899
1,1/29/21,NOK,0,0.837,0.163,-0.009652451
2,1/29/21,GME,0,0.837,0.163,0.432867892
3,1/29/21,AMC,0,0.837,0.163,0.194490899
4,1/29/21,GME,0.359,0.641,0,0.432867892
5,1/29/21,GME,0,1,0,0.432867892
6,1/29/21,GME,0,1,0,0.432867892
7,1/29/21,GME,0,1,0,0.432867892
8,1/29/21,GME,0,1,0,0.432867892
9,1/29/21,AMC,0,1,0,0.194490899
10,1/29/21,GME,0.242,0.758,0,0.432867892
11,1/29/21,NOK,0,1,0,-0.009652451
12,1/29/21,GME,0,1,0,0.432867892
13,1/29/21,GME,0.151,0.849,0,0.432867892
14,1/29/21,GME,0,1,0,0.432867892
15,1/29/21,GME,0.135,0.865,0,0.432867892
16,1/29/21,AMC,0,1,0,0.194490899
17,1/29/21,GME,0.352,0.648,0,0.432867892
18,1/29/21,RH,0.139,0.697,0.164,0.025369432
19,1/29/21,GME,0.121,0.879,0,0.432867892
20,1/29/21,GME,0.162,0.838,0,0.432867892
21,1/29/21,PLTR,0.458,0.542,0,-0.074102181
22,1/29/21,GME,0,1,0,0.432867892
23,1/29/21,NOK,0,1,0,-0.009652451
24,1/29/21,GME,0.191,0.809,0,0.432867892
25,1/29/21,NOK,0,1,0,-0.009652451
26,1/29/21,GME,0.439,0.561,0,0.432867892
27,1/29/21,GME,0.035,0.965,0,0.432867892
28,1/29/21,AMC,0.035,0.965,0,0.194490899
29,1/29/21,GME,0.359,0.641,0,0.432867892
30,1/29/21,DD,0.07,0.827,0.104,0.029141046
31,1/29/21,AMC,0.268,0.732,0,0.194490899
32,1/29/21,GME,0.149,0.851,0,0.432867892
33,1/29/21,GME,0,0.611,0.389,0.432867892
34,1/29/21,GME,0,0.867,0.133,0.432867892
35,1/29/21,NOK,0,1,0,-0.009652451
36,1/29/21,GME,0.093,0.703,0.204,0.432867892
37,1/29/21,GME,0,1,0,0.432867892
38,1/29/21,GME,0,0.706,0.294,0.432867892
39,1/29/21,DD,0,1,0,0.029141046
40,1/29/21,AM,0,0.698,0.302,-0.016746261
41,1/29/21,GME,0,1,0,0.432867892
42,1/29/21,GME,0,1,0,0.432867892
43,1/29/21,AMC,0.179,0.821,0,0.194490899
44,1/29/21,AMC,0,0.778,0.222,0.194490899
45,1/29/21,GME,0,0.887,0.113,0.432867892
46,1/29/21,NOK,0,0.838,0.162,-0.009652451
47,1/29/21,GME,0,0.838,0.162,0.432867892
