Day,PLTR,RKT,ONE,AMC,REAL,SPCE,AMD,DD,GME,TSLA,CRSR,RH,BB,CLOV,NOK,AM,WISH,UWMC,BY,MVIS,NIO,APP,SNDL,AAL,TD
2021-01-28,1058.0,0.0,-704.0,-9.0,376.0,0.0,0.0,0.0,-246.0,0.0,-987.0,-469.0,-72.0,0.0,71.0,-673.0,0.0,0.0,364.0,0.0,0.0,-223.0,343.0,-263.0,-318.0
2021-01-29,1129.0,0.0,3945.0,316.0,-4075.0,-111.0,12393.0,-849.0,196.0,-310.0,-15506.0,-3561.0,37.0,0.0,457.0,-5816.0,0.0,0.0,-7501.0,0.0,-11088.0,-2913.0,-1372.0,-483.0,-2088.0
2021-01-30,710.0,269.0,1424.0,276.0,-1424.0,-246.0,707.0,55.0,174.0,266.0,-582.0,46.0,457.0,0.0,294.0,377.0,0.0,0.0,-1020.0,0.0,-1424.0,0.0,-29.0,0.0,206.0
2021-01-31,657.0,815.0,626.0,170.0,317.0,-815.0,15.0,282.0,126.0,815.0,272.0,-245.0,8.0,0.0,184.0,34.0,0.0,0.0,-939.0,0.0,-513.0,0.0,0.0,0.0,-3.0
2021-02-01,473.0,884.0,-149.0,-63.0,268.0,-884.0,0.0,159.0,148.0,884.0,-109.0,144.0,658.0,0.0,-76.0,482.0,0.0,0.0,-724.0,0.0,-45.0,0.0,0.0,0.0,-794.0
2021-02-02,14.0,1502.0,-1502.0,-172.0,-1502.0,-1502.0,0.0,-11.0,416.0,778.0,888.0,-684.0,-53.0,0.0,198.0,65.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,-1502.0
2021-02-03,524.0,2643.0,1039.0,-181.0,-2643.0,-1955.0,-1360.0,415.0,283.0,-2571.0,344.0,-269.0,-408.0,0.0,-1113.0,1447.0,0.0,0.0,-1408.0,0.0,0.0,0.0,1943.0,0.0,607.0
2021-02-04,504.0,1671.0,-6.0,555.0,-989.0,-361.0,-1671.0,594.0,312.0,663.0,1285.0,118.0,-130.0,0.0,209.0,-1387.0,0.0,6.0,-1473.0,0.0,614.0,0.0,79.0,0.0,-1364.0
2021-02-05,-353.0,2598.0,1003.0,95.0,826.0,-162.0,-1292.0,133.0,40.0,2597.0,744.0,-785.0,-547.0,1.0,-736.0,-1768.0,0.0,2435.0,-164.0,0.0,343.0,0.0,0.0,0.0,1983.0
2021-02-06,0.0,2791.0,-168.0,38.0,0.0,0.0,0.0,896.0,250.0,992.0,2563.0,-738.0,572.0,-648.0,17.0,0.0,0.0,2791.0,-1796.0,43.0,2791.0,0.0,893.0,0.0,-1030.0
2021-02-07,13.0,511.0,0.0,93.0,0.0,0.0,27.0,143.0,146.0,64.0,511.0,51.0,170.0,103.0,402.0,0.0,0.0,511.0,-511.0,348.0,511.0,0.0,-23.0,0.0,-511.0
2021-02-08,0.0,287.0,0.0,139.0,1.0,0.0,156.0,34.0,37.0,3.0,287.0,107.0,45.0,43.0,201.0,0.0,0.0,287.0,-287.0,191.0,287.0,0.0,186.0,0.0,-287.0
2021-02-09,0.0,148.0,0.0,98.0,67.0,0.0,120.0,62.0,-22.0,0.0,148.0,96.0,19.0,0.0,141.0,0.0,0.0,148.0,-148.0,122.0,148.0,0.0,120.0,0.0,-148.0
2021-02-10,-40.0,222.0,0.0,14.0,189.0,0.0,190.0,15.0,-11.0,2.0,222.0,192.0,22.0,0.0,115.0,0.0,0.0,222.0,-222.0,209.0,222.0,0.0,41.0,0.0,-222.0
2021-02-11,3.0,169.0,0.0,10.0,149.0,0.0,114.0,68.0,42.0,1.0,169.0,145.0,4.0,0.0,21.0,31.0,0.0,169.0,-169.0,137.0,169.0,0.0,75.0,0.0,-169.0
2021-02-12,38.0,179.0,-1.0,3.0,159.0,1.0,58.0,6.0,49.0,9.0,179.0,158.0,1.0,0.0,20.0,158.0,0.0,179.0,-179.0,178.0,179.0,0.0,-114.0,0.0,-179.0
2021-02-13,36.0,181.0,-117.0,56.0,103.0,27.0,86.0,16.0,34.0,-117.0,99.0,64.0,117.0,0.0,35.0,7.0,0.0,181.0,-181.0,64.0,181.0,0.0,-9.0,0.0,-181.0
2021-02-14,96.0,127.0,-78.0,-26.0,121.0,0.0,31.0,48.0,21.0,-38.0,38.0,70.0,16.0,0.0,40.0,0.0,0.0,127.0,-127.0,31.0,127.0,0.0,28.0,0.0,-127.0
2021-02-15,17.0,65.0,-34.0,40.0,31.0,34.0,47.0,13.0,20.0,0.0,-3.0,31.0,34.0,0.0,10.0,0.0,0.0,65.0,-65.0,47.0,65.0,0.0,9.0,0.0,-65.0
2021-02-16,31.0,90.0,-81.0,48.0,9.0,81.0,38.0,13.0,71.0,0.0,-72.0,9.0,81.0,0.0,0.0,0.0,0.0,90.0,-90.0,90.0,90.0,0.0,-80.0,0.0,-90.0
2021-02-17,-8.0,171.0,-161.0,-5.0,10.0,161.0,-4.0,-11.0,-59.0,-58.0,41.0,10.0,161.0,0.0,0.0,0.0,0.0,171.0,-159.0,164.0,171.0,0.0,-120.0,0.0,-171.0
2021-02-18,152.0,245.0,-231.0,-44.0,14.0,121.0,231.0,49.0,-58.0,109.0,5.0,-75.0,102.0,0.0,110.0,0.0,0.0,245.0,-135.0,230.0,245.0,0.0,-1.0,0.0,-245.0
2021-02-19,150.0,347.0,-347.0,-203.0,0.0,43.0,324.0,64.0,116.0,261.0,276.0,154.0,42.0,0.0,203.0,0.0,0.0,347.0,-43.0,304.0,347.0,0.0,-27.0,6.0,-347.0
2021-02-20,209.0,147.0,-246.0,-82.0,0.0,8.0,8.0,109.0,14.0,157.0,149.0,-48.0,151.0,0.0,-157.0,0.0,0.0,246.0,-8.0,246.0,246.0,0.0,15.0,0.0,-246.0
2021-02-21,-10.0,-107.0,-160.0,-65.0,0.0,8.0,21.0,42.0,39.0,89.0,22.0,-137.0,-78.0,0.0,21.0,0.0,0.0,160.0,0.0,160.0,160.0,0.0,-16.0,15.0,-160.0
2021-02-22,77.0,-128.0,-139.0,-29.0,0.0,0.0,4.0,108.0,1.0,139.0,5.0,73.0,-134.0,0.0,137.0,0.0,0.0,139.0,0.0,139.0,139.0,0.0,-134.0,134.0,-67.0
2021-02-23,91.0,214.0,-147.0,48.0,-121.0,0.0,-121.0,51.0,-9.0,76.0,136.0,-26.0,-130.0,0.0,-5.0,0.0,0.0,268.0,0.0,147.0,268.0,0.0,120.0,75.0,-147.0
2021-02-24,-28.0,20.0,-5.0,175.0,-89.0,0.0,-141.0,90.0,149.0,127.0,5.0,-230.0,18.0,0.0,-5.0,0.0,0.0,240.0,0.0,5.0,240.0,0.0,5.0,0.0,-170.0
2021-02-25,-213.0,211.0,-123.0,81.0,-211.0,0.0,-211.0,-51.0,93.0,-211.0,0.0,-512.0,271.0,0.0,87.0,-48.0,0.0,545.0,0.0,292.0,545.0,0.0,0.0,121.0,-334.0
2021-02-26,273.0,261.0,0.0,171.0,-565.0,-248.0,-317.0,-157.0,176.0,-89.0,0.0,-36.0,210.0,0.0,529.0,0.0,0.0,565.0,0.0,0.0,565.0,0.0,0.0,529.0,0.0
2021-02-27,157.0,77.0,0.0,146.0,-297.0,-228.0,-14.0,0.0,6.0,198.0,209.0,50.0,-8.0,0.0,297.0,209.0,0.0,297.0,0.0,0.0,297.0,0.0,-209.0,297.0,0.0
2021-02-28,-124.0,-93.0,0.0,-57.0,-147.0,-128.0,-15.0,31.0,25.0,128.0,99.0,0.0,19.0,0.0,147.0,128.0,0.0,147.0,0.0,0.0,147.0,0.0,-47.0,147.0,0.0
