Day,PLTR,RKT,ONE,AMC,REAL,SPCE,AMD,DD,GME,TSLA,CRSR,RH,BB,CLOV,NOK,AM,WISH,UWMC,BY,MVIS,NIO,APP,SNDL,AAL,TD
44224,0.94,0,-0.82,-0.01,1,0,0,0,-0.21,0,-1,-0.41,-0.09,0,0.06,-0.65,0,0,0.41,0,0,-0.25,0.41,-0.29,-0.39
44225,0.07,0,0.25,0.02,-0.26,-0.01,0.87,-0.05,0.01,-0.03,-0.99,-0.23,0,0,0.03,-0.37,0,0,-0.48,0,-0.73,-0.19,-0.09,-0.03,-0.13
44226,0.5,1,1,0.19,-1,-0.17,0.5,0.04,0.12,0.19,-0.41,0.03,0.32,0,0.21,0.26,0,0,-0.72,0,-1,0,-0.02,0,0.14
44227,0.7,1,0.67,0.18,0.34,-0.87,0.02,0.3,0.13,0.87,0.29,-0.26,0.01,0,0.2,0.04,0,0,-1,0,-0.55,0,0,0,0
44228,0.54,1,-0.17,-0.07,0.3,-1,0,0.18,0.17,1,-0.12,0.16,0.74,0,-0.09,0.55,0,0,-0.82,0,-0.05,0,0,0,-0.9
44229,0.01,1,-1,-0.11,-1,-1,0,-0.01,0.28,0.52,0.59,-0.46,-0.04,0,0.13,0.04,0,0,0.2,0,0,0,0,0,-1
44230,0.2,1,0.39,-0.07,-1,-0.74,-0.51,0.16,0.11,-0.97,0.13,-0.1,-0.15,0,-0.42,0.55,0,0,-0.53,0,0,0,0.74,0,0.23
44231,0.3,1,0,0.33,-0.59,-0.22,-1,0.36,0.19,0.4,0.77,0.07,-0.08,0,0.13,-0.83,0,0,-0.88,0,0.37,0,0.05,0,-0.82
44232,-0.14,1,0.39,0.04,0.32,-0.06,-0.5,0.05,0.02,1,0.29,-0.3,-0.21,0,-0.28,-0.68,0,0.94,-0.06,0,0.13,0,0,0,0.76
44233,0,1,-0.06,0.01,0,0,0,0.32,0.09,0.36,0.92,-0.26,0.2,-0.23,0.01,0,0,1,-0.64,0.05,1,0,0.32,0,-0.37
44234,0.03,1,0,0.18,0,0,0.05,0.28,0.29,0.13,1,0.1,0.33,0.2,0.79,0,0,1,-1,0.7,1,0,-0.05,0,-1
44235,0,1,0,0.48,0,0,0.54,0.12,0.13,0.01,1,0.37,0.16,0.15,0.7,0,0,1,-1,0.67,1,0,0.65,0,-1
44236,0,1,0,0.66,0.45,0,0.81,0.42,-0.15,0,1,0.65,0.13,0,0.95,0,0,1,-1,0.82,1,0,0.81,0,-1
44237,-0.18,1,0,0.06,0.85,0,0.86,0.07,-0.05,0.01,1,0.86,0.1,0,0.52,0,0,1,-1,0.94,1,0,0.18,0,-1
44238,0.02,1,0,0.06,0.88,0,0.67,0.4,0.25,0.01,1,0.86,0.02,0,0.12,0.18,0,1,-1,0.81,1,0,0.44,0,-1
44239,0.21,1,-0.01,0.02,0.89,0.01,0.32,0.03,0.27,0.05,1,0.88,0.01,0,0.11,0.88,0,1,-1,0.99,1,0,-0.64,0,-1
44240,0.2,1,-0.65,0.31,0.57,0.15,0.48,0.09,0.19,-0.65,0.55,0.35,0.65,0,0.19,0.04,0,1,-1,0.35,1,0,-0.05,0,-1
