Day,PLTR,RKT,ONE,AMC,REAL,SPCE,AMD,DD,GME,TSLA,CRSR,RH,BB,CLOV,NOK,AM,WISH,UWMC,BY,MVIS,NIO,APP,SNDL,AAL,TD
44224,1058,0,-704,-9,376,0,0,0,-246,0,-987,-469,-72,0,71,-673,0,0,364,0,0,-223,343,-263,-318
44225,1129,0,3945,316,-4075,-111,12393,-849,196,-310,-15506,-3561,37,0,457,-5816,0,0,-7501,0,-11088,-2913,-1372,-483,-2088
44226,710,269,1424,276,-1424,-246,707,55,174,266,-582,46,457,0,294,377,0,0,-1020,0,-1424,0,-29,0,206
44227,657,815,626,170,317,-815,15,282,126,815,272,-245,8,0,184,34,0,0,-939,0,-513,0,0,0,-3
44228,473,884,-149,-63,268,-884,0,159,148,884,-109,144,658,0,-76,482,0,0,-724,0,-45,0,0,0,-794
44229,14,1502,-1502,-172,-1502,-1502,0,-11,416,778,888,-684,-53,0,198,65,0,0,296,0,0,0,0,0,-1502
44230,524,2643,1039,-181,-2643,-1955,-1360,415,283,-2571,344,-269,-408,0,-1113,1447,0,0,-1408,0,0,0,1943,0,607
44231,504,1671,-6,555,-989,-361,-1671,594,312,663,1285,118,-130,0,209,-1387,0,6,-1473,0,614,0,79,0,-1364
44232,-353,2598,1003,95,826,-162,-1292,133,40,2597,744,-785,-547,1,-736,-1768,0,2435,-164,0,343,0,0,0,1983
44233,0,2791,-168,38,0,0,0,896,250,992,2563,-738,572,-648,17,0,0,2791,-1796,43,2791,0,893,0,-1030
44234,13,511,0,93,0,0,27,143,146,64,511,51,170,103,402,0,0,511,-511,348,511,0,-23,0,-511
44235,0,287,0,139,1,0,156,34,37,3,287,107,45,43,201,0,0,287,-287,191,287,0,186,0,-287
44236,0,148,0,98,67,0,120,62,-22,0,148,96,19,0,141,0,0,148,-148,122,148,0,120,0,-148
44237,-40,222,0,14,189,0,190,15,-11,2,222,192,22,0,115,0,0,222,-222,209,222,0,41,0,-222
44238,3,169,0,10,149,0,114,68,42,1,169,145,4,0,21,31,0,169,-169,137,169,0,75,0,-169
44239,38,179,-1,3,159,1,58,6,49,9,179,158,1,0,20,158,0,179,-179,178,179,0,-114,0,-179
44240,36,181,-117,56,103,27,86,16,34,-117,99,64,117,0,35,7,0,181,-181,64,181,0,-9,0,-181
44241,96,127,-78,-26,121,0,31,48,21,-38,38,70,16,0,40,0,0,127,-127,31,127,0,28,0,-127
44242,17,65,-34,40,31,34,47,13,20,0,-3,31,34,0,10,0,0,65,-65,47,65,0,9,0,-65
44243,31,90,-81,48,9,81,38,13,71,0,-72,9,81,0,0,0,0,90,-90,90,90,0,-80,0,-90
44244,-8,171,-161,-5,10,161,-4,-11,-59,-58,41,10,161,0,0,0,0,171,-159,164,171,0,-120,0,-171
44245,152,245,-231,-44,14,121,231,49,-58,109,5,-75,102,0,110,0,0,245,-135,230,245,0,-1,0,-245
44246,150,347,-347,-203,0,43,324,64,116,261,276,154,42,0,203,0,0,347,-43,304,347,0,-27,6,-347
44247,209,147,-246,-82,0,8,8,109,14,157,149,-48,151,0,-157,0,0,246,-8,246,246,0,15,0,-246
44248,-10,-107,-160,-65,0,8,21,42,39,89,22,-137,-78,0,21,0,0,160,0,160,160,0,-16,15,-160
44249,77,-128,-139,-29,0,0,4,108,1,139,5,73,-134,0,137,0,0,139,0,139,139,0,-134,134,-67
44250,91,214,-147,48,-121,0,-121,51,-9,76,136,-26,-130,0,-5,0,0,268,0,147,268,0,120,75,-147
44251,-28,20,-5,175,-89,0,-141,90,149,127,5,-230,18,0,-5,0,0,240,0,5,240,0,5,0,-170
44252,-213,211,-123,81,-211,0,-211,-51,93,-211,0,-512,271,0,87,-48,0,545,0,292,545,0,0,121,-334
