,neg,neu,pos,compound,label
0,0,1,0,0,Neutral
1,0.305,0.695,0,-0.7034,Negative
2,0,1,0,0,Neutral
3,0.231,0.625,0.144,-0.3397,Negative
4,0,0.881,0.119,0.2235,Positive
5,0,1,0,0,Neutral
6,0,1,0,0,Neutral
7,0,1,0,0,Neutral
8,0.163,0.837,0,-0.5719,Negative
9,0,1,0,0,Neutral
10,0,1,0,0,Neutral
11,0,0.641,0.359,0.4215,Positive
12,0,1,0,0,Neutral
13,0,1,0,0,Neutral
14,0,0.359,0.641,0.7482,Positive
15,0,1,0,0,Neutral
16,0,1,0,0,Neutral
17,0,1,0,0,Neutral
18,0.281,0.719,0,-0.5994,Negative
19,0,1,0,0,Neutral
20,0,1,0,0,Neutral
21,0.293,0.707,0,-0.783,Negative
22,0,1,0,0,Neutral
23,0,0.726,0.274,0.5256,Positive
24,0,1,0,0,Neutral
25,0,1,0,0,Neutral
26,0,0.758,0.242,0.4939,Positive
27,0.311,0.689,0,-0.4871,Negative
28,0,1,0,0,Neutral
29,0,1,0,0,Neutral
30,0.334,0.47,0.196,-0.4153,Negative
31,0.166,0.834,0,-0.68,Negative
32,0,1,0,0,Neutral
33,0,0.846,0.154,0.8118,Positive
34,0,1,0,0,Neutral
35,0,1,0,0,Neutral
36,0.138,0.797,0.065,-0.355,Negative
37,0,1,0,0,Neutral
38,0,1,0,0,Neutral
39,0,1,0,0,Neutral
40,0,0.6,0.4,0.4588,Positive
41,0,1,0,0,Neutral
42,0,0.849,0.151,0.3595,Positive
43,0,0.855,0.145,0.5267,Positive
44,0,1,0,0,Neutral
45,0,1,0,0,Neutral
46,0,0.865,0.135,0.3291,Positive
47,0,1,0,0,Neutral
48,0,1,0,0,Neutral
49,0,1,0,0,Neutral
50,0,1,0,0,Neutral
51,0.565,0.435,0,-0.5994,Negative
52,0.291,0.709,0,-0.802,Negative
53,0,0.787,0.213,0.4019,Positive
54,0,0.583,0.417,0.6124,Positive
55,0,1,0,0,Neutral
56,0,1,0,0,Neutral
57,0,0.648,0.352,0.8519,Positive
58,0,1,0,0,Neutral
59,0.164,0.697,0.139,-0.128,Negative
60,0.237,0.555,0.208,-0.1091,Negative
61,0,1,0,0,Neutral
62,0,0.879,0.121,0.296,Positive
63,0,1,0,0,Neutral
64,0,0.803,0.197,0.5994,Positive
65,0.19,0.603,0.207,0.0516,Positive
66,0,1,0,0,Neutral
67,0,0.838,0.162,0.4019,Positive
68,0,0.542,0.458,0.5229,Positive
69,0,0.715,0.285,0.6335,Positive
70,0,1,0,0,Neutral
71,0.053,0.754,0.192,0.7469,Positive
72,0,1,0,0,Neutral
73,0.125,0.767,0.108,-0.088,Negative
74,0,1,0,0,Neutral
75,0,1,0,0,Neutral
76,0,1,0,0,Neutral
77,0,1,0,0,Neutral
78,0.124,0.876,0,-0.4019,Negative
79,0,1,0,0,Neutral
80,0,1,0,0,Neutral
81,0.064,0.936,0,-0.296,Negative
82,0,1,0,0,Neutral
83,0,1,0,0,Neutral
84,0,1,0,0,Neutral
85,0,1,0,0,Neutral
86,0.368,0.632,0,-0.5423,Negative
87,0,1,0,0,Neutral
88,0,0.809,0.191,0.2235,Positive
89,0,0.822,0.178,0.0772,Positive
90,0,1,0,0,Neutral
91,0,1,0,0,Neutral
92,0.13,0.741,0.13,0,Neutral
93,0,1,0,0,Neutral
94,0,1,0,0,Neutral
95,0,0.885,0.115,0.0772,Positive
96,0,0.561,0.439,0.5719,Positive
97,0,0.965,0.035,0.1139,Positive
98,0,0.897,0.103,0.3182,Positive
99,0.225,0.775,0,-0.6841,Negative
100,0,0.641,0.359,0.8061,Positive
101,0,0.783,0.217,0.3612,Positive
102,0.104,0.827,0.07,0.023,Neutral
